"neo","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
Y,0.462,,0.250,8.44,,,,,Sk,
Y,0.729,,0.175,37.26,,,,,,
Y,1.010,,0.274,,,,,,,
Y,0.812,,0.115,9.463,,,,,O,
Y,1.048,,0.084,3.024,,,,,,
Y,0.906,,0.236,2.642,,,,,,
Y,1.406,,0.089,,,,,,,
Y,4.299,,0.071,50.67,,,,,,
Y,0.335,,0.173,2.439,,,,,C,
Y,3.945,,0.014,,,,,,,
Y,1.086,,0.060,,,,,,,
Y,0.790,,0.658,12.71,,,,,,
Y,0.875,,0.161,68,,,,,T,
Y,0.460,,0.408,,,,,,,
Y,1.682,,0.172,6.231,,,,,,
Y,0.735,,0.030,14.5,,,,,,
Y,0.712,,0.096,,,,,,,
Y,3.449,,0.021,6.649,,,,,,
Y,0.832,,0.276,2.387,,,,,,
Y,2.343,,0.074,,,,,,,
Y,0.386,,0.516,5.649,,,,,,
Y,0.791,,0.340,285,,,,,,
Y,1.717,,0.198,2.343,,,,,,
Y,1.138,,0.124,,,,,,,
Y,0.163,,0.219,,,,,,,
Y,0.9,,,3.925,,,,,,
Y,0.841,,0.509,5.721,,,,,,
Y,0.316,,0.405,,,,,,,
Y,0.631,,0.336,8.0475,,,,,,
Y,0.724,,0.161,,,,,,,
Y,1.196,,0.072,3.5942,,,,,C,
Y,1.039,,0.020,,,,,,,
Y,2.039,,0.117,2.5435,,,,,,
Y,0.629,,0.339,,,,,,,
Y,0.863,"0.992 x 0.938 x 0.964",0.137,2.7754,3.224e-8,,,,,
Y,0.430,,0.199,,,,,,,
Y,1.451,,0.121,,,,,,,
Y,3.041,,0.040,,,,,,,
Y,1.045,,0.234,40.542,,,,,,
Y,1.244,,0.055,6.802,,,,,X,
Y,0.916,,0.353,6.38,,,,,Sq,
Y,0.742,,0.389,,,,,,,
Y,0.553,,0.210,3.653,,,,,S,
Y,0.376,,0.414,37.5,,,,,,
Y,0.423,,0.161,3.1499,,,,,,
Y,1.861,,0.185,2.726,,,,,,
Y,0.411,,0.315,,,,,,,
Y,1.261,,0.232,,,,,,,
Y,2.423,,0.250,6.342,,,,,,
Y,1.075,,0.080,473,,,,,,
Y,0.488,,0.118,,,,,,,
Y,0.780,,0.241,4.99531,,,,,,
Y,1.4,,,8.55,,,,,,
Y,0.451,,0.115,,,,,,,
Y,1.237,,0.418,3.274928,,,,,,
Y,0.657,,0.383,3.319,,,,,Q,
Y,0.609,,0.208,3.89,,,,,,
Y,0.432,,0.200,,,,,,,
Y,1.651,,0.094,4.531,,,,,,
Y,0.482,,0.125,,,,,,,
Y,0.302,,0.194,13.14,,,,,,
Y,1.166,,0.150,,,,,,,
Y,0.217,,0.216,,,,,,,
Y,1.522,,0.207,,,,,,,
Y,0.55,,,39.905,,,,,,
Y,1.123,,0.154,,,,,,,
Y,2.900,,0.019,,,,,,,
Y,0.344,,0.045,33,,,,,,
Y,0.344,,0.493,,,,,,,
Y,1.024,,0.168,6.385,,,,,,
Y,1.136,,0.042,7.18,,,,,,
Y,0.630,,0.234,,,,,,,
Y,0.703,,0.430,3.7756,,,,,,
Y,1.470,,0.225,7.23,,,,,,
Y,0.328,,0.312,,,,,,,
Y,0.450,,0.317,,,,,,,
Y,0.764,,0.224,,,,,,,
Y,1.548,,0.105,8.75,,,,,,
Y,0.898,,0.200,,,,,,,
Y,1.687,,0.108,46.32,,,,,,
Y,0.605,,0.334,,,,,,,
Y,0.370,,0.334,13.531,,,,,,
Y,2.914,,0.274,,,,,,,
Y,1.989,,0.041,10.,,,,,,
Y,2.123,,0.139,31.73,,,,,,
Y,0.912,,0.280,13.538,,,,,,
Y,0.881,,0.091,2.313,,,,,,
Y,0.495,,0.235,,,,,,,
Y,0.588,,0.269,,,,,,,
Y,1.655,,0.033,,,,,,,
Y,0.269,,0.357,,,,,,,
Y,2.358,,0.126,4.66,,,,,,
Y,4.726,,0.018,,,,,,,
Y,2.907,,0.040,8.45,,,,,,
Y,1.201,,0.051,,,,,,,
Y,0.630,,0.282,16.19,,,,,,
Y,1.617,,0.269,,,,,,,
Y,0.654,,0.260,5.354,,,,,,
Y,0.398,,0.147,,,,,,,
Y,0.535,,0.322,7.,,,,,,
Y,0.291,,0.478,,,,,,,
Y,0.533,,0.062,,,,,,,
Y,0.629,,0.408,,,,,,,
Y,4.444,,0.014,20.,,,,,,
Y,0.470,,0.419,,,,,,,
Y,0.761,,0.122,16.3,,,,,,
Y,0.785,,0.125,2.664,,,,,,
Y,0.113,,0.037,,,,,,,
Y,0.361,,0.310,6.479,,,,,,
Y,0.562,,0.097,,,,,,,
Y,0.439,,0.578,39.05,,,,,,
Y,0.888,,0.098,,,,,,,
Y,0.709,,0.352,77.1,,,,,,
Y,0.747,,0.240,2.852,,,,,,
Y,1.483,,0.046,15.109,,,,,,
Y,0.626,,0.216,26.1,,,,,,
Y,2.381,,0.094,6.41,,,,,,
Y,3.5,,.07,3.2931,,,,,,C
Y,1.528,,0.100,,,,,,,
Y,1.034,,0.114,,,,,,,
Y,0.521,,0.124,,,,,,,
Y,1.720,,0.050,5.018,,,,,,
Y,0.676,,0.156,16.2,,,,,,
Y,0.439,,0.177,3.689,,,,,,
Y,1.236,,0.119,5.45,,,,,,
Y,0.666,,0.190,,,,,,,
Y,0.654,,0.198,,,,,,,
Y,0.614,,0.268,,,,,,,
Y,1.044,,0.407,2.2455,,,,,,
Y,0.740,,0.425,3.05785,,,,,,
Y,1.199,,0.234,4.645,,,,,,
Y,0.320,,,15,,,,,,
Y,0.407,,0.388,6.314,,,,,,
Y,0.622,,0.288,,,,,,,
Y,0.4,,,,,,,,,
Y,1.504,,0.163,2.523,,,,,,
Y,0.817,,0.084,,,,,,,
Y,0.187,,0.317,,,,,,,
Y,2.054,,0.033,,,,,,,
Y,0.780,,0.080,,,,,,,
Y,0.476,,0.379,,,,,,,
Y,0.282,,0.117,,,,,,,
Y,1.666,,0.023,,,,,,,
Y,0.374,,0.358,,,,,,,
Y,0.4,,,18,,,,,C,
Y,0.654,,0.313,2.97387,,,,,,
Y,0.583,,0.172,,,,,,,
Y,0.382,,0.401,9.15,,,,,,
Y,0.595,,0.087,,,,,,,
Y,0.993,,0.313,2.447,,,,,,
Y,0.836,,0.023,,,,,,,
Y,1.252,,0.196,,,,,,,
Y,1.632,,0.069,,,,,,C:,
Y,1.170,,0.068,,,,,,,
Y,0.361,,0.124,,,,,,,
Y,1.142,,0.071,,,,,,,
Y,0.518,,0.315,6.262,,,,,,
Y,1.012,,0.249,,,,,,,
Y,1.275,,0.499,,,,,,,
Y,0.467,,0.098,,,,,,,
Y,0.204,,0.352,5.737,,,,,,
Y,0.919,,0.110,2.817,,,,,,
Y,0.570,,0.376,2.484,,,,,,
Y,0.521,,0.235,,,,,,,
Y,0.846,,0.025,25.2,,,,,,
Y,1.420,,0.046,,,,,,,
Y,0.40,,0.137,3.725,,,,,,
Y,0.670,,0.431,,,,,,,
Y,0.413,,0.117,3.05,,,,,,
Y,0.406,,0.402,3.204,,,,,,
Y,0.653,,0.258,,,,,,,
Y,1.377,,0.069,,,,,,,
Y,0.496,,0.343,2.433,,,,,,
Y,1.081,,0.067,,,,,,,
Y,0.583,,0.272,,,,,,,
Y,0.920,,0.229,,,,,,,
Y,1.77,,0.043,,,,,,X,
Y,1.199,,0.054,,,,,,,
Y,1.071,,0.152,,,,,,,
Y,0.432,,0.217,,,,,,S,
Y,0.255,,0.430,4.2477,,,,,,
Y,0.4,,,,,,,,,
Y,0.479,,0.313,,,,,,,
Y,0.558,,0.099,,,,,,,
Y,0.578,,0.059,3,,,,,,
Y,1.876,,0.029,29.6,,,,,,
Y,0.152,,0.306,7.021,,,,,,
Y,0.633,,0.135,,,,,,,
Y,1.105,,0.100,6.6,,,,,,
Y,0.371,,0.268,,,,,,,
Y,1.047,,0.028,,,,,,,
Y,0.786,,0.317,43.6586,,,,,,
Y,0.674,,0.246,,,,,,,
Y,0.212,,0.075,,,,,,,
Y,0.215,,0.264,,,,,,,
Y,0.859,,0.199,,,,,,,
Y,0.386,,0.119,5.286,,,,,,
Y,0.498,,0.412,,,,,,,
Y,0.381,,0.193,,,,,,,
Y,1.515,,0.232,,,,,,,
Y,0.846,,0.036,,,,,,,
Y,1.137,,0.180,,,,,,,
Y,0.230,,0.160,,,,,,,
Y,1.050,,0.025,,,,,,,
Y,0.414,,0.179,,,,,,,
Y,0.986,,0.288,0.132,,,,,,
Y,1.312,,0.037,,,,,,X,
Y,0.602,,0.064,,,,,,,
Y,0.472,,0.346,325.,,,,,,
Y,0.520,,0.451,3.5197,,,,,,
Y,0.783,,0.020,,,,,,,
Y,0.811,,0.223,2.5193,,,,,Sa,
Y,3.2,,0.080,,,,,,,
Y,1.359,,0.334,6.195,,,,,,
Y,1.597,,0.110,,,,,,,
Y,0.367,,0.128,,,,,,,
Y,0.964,,0.244,,,,,,,
Y,0.663,,0.211,,,,,,,
Y,1.060,,0.074,,,,,,,
Y,0.344,,0.411,2.467,,,,,,
Y,0.366,,0.132,,,,,,,
Y,2.750,,0.019,,,,,,,
Y,0.315,,0.123,,,,,,,
Y,0.378,,0.196,2.859,,,,,,
Y,0.451,,0.456,5.24,,,,,,
Y,0.293,,0.271,,,,,,,
Y,1.745,,0.084,,,,,,,
Y,0.412,,0.415,,,,,,,
Y,0.774,,0.062,,,,,,,
Y,0.551,,0.048,,,,,,,
Y,1.218,,0.157,,,,,,,
Y,0.636,,0.174,,,,,,,
Y,0.636,,0.124,,,,,,,
Y,0.724,,0.022,,,,,,,
Y,1.180,,0.269,,,,,,,
Y,0.462,,0.137,21.99,,,,,,
Y,0.669,,0.039,,,,,,,
Y,1.339,,0.021,,,,,,X:,
Y,4.2,,0.046,,,,,,D,
Y,0.475,,0.342,,,,,,,
Y,0.772,,0.429,,,,,,,
Y,0.281,,0.141,,,,,,,
Y,0.399,,0.278,21,,,,,,
Y,1.887,,0.026,,,,,,,
Y,0.554,,0.331,,,,,,,
Y,1.032,,0.095,4.5569,,,,,,
Y,0.472,,0.01,4,,,,,,
Y,1.457,,0.048,8,,,,,,
Y,0.159,,0.121,45.8,,,,,,
Y,0.658,,0.310,113,,,,,,
Y,0.358,,0.415,,,,,,,
Y,1.237,,0.301,6.569,,,,,Sk,
Y,1.258,,0.030,,,,,,Cb,
Y,2.160,,0.043,,,,,,,
Y,1.900,,0.023,,,,,,,
Y,0.659,,0.049,,,,,,,
Y,0.369,,0.471,,,,,,,
Y,1.974,,0.038,42.5,,,,,,
Y,2.866,,0.015,,,,,,,
Y,0.996,,0.709,,,,,,,
Y,1.800,,0.019,,,,,,,
Y,1.466,,0.019,,,,,,,
Y,0.346,,0.371,,,,,,,
Y,1.072,,0.088,,,,,,,
Y,0.803,,0.189,17.7,,,,,,
Y,2.538,,0.036,,,,,,,
Y,2.292,,0.031,50.3,,,,,,
Y,0.906,,0.031,9.,,,,,,
Y,1.930,,0.062,,,,,,,
Y,0.418,,0.154,,,,,,,
Y,0.890,,0.042,9.929,,,,,,
Y,0.789,,0.063,7.35,,,,,,
Y,1.432,,0.137,4.59,,,,,,
Y,0.459,,0.088,,,,,,,
Y,0.357,,0.084,,,,,,,
Y,0.982,,0.026,,,,,,,
Y,0.193,,0.195,8.676,,,,,,
Y,0.176,,0.143,2.4437,,,,,Q,
Y,0.619,,0.220,42.484,,,,,,
Y,0.202,,0.212,17.157,,,,,,
Y,2.314,,0.027,,,,,,,
Y,0.239,,0.054,,,,,,,
Y,2.525,,0.101,,,,,,,
Y,2.498,,0.041,,,,,,,
Y,0.448,,0.463,,,,,,,
Y,1.275,,0.131,,,,,,,
Y,1.266,,0.092,,,,,,,
Y,0.259,,0.115,9.3205,,,,,,
Y,0.827,,0.144,9.36,,,,,,
Y,0.528,,0.431,,,,,,,
Y,1.150,,0.019,,,,,,,
Y,0.310,,0.039,,,,,,,
Y,0.997,,0.031,,,,,,,
Y,0.921,,0.083,,,,,,,
Y,0.295,,0.296,,,,,,,
Y,0.369,,0.205,,,,,,,
Y,0.452,,0.378,,,,,,,
Y,0.622,,0.012,,,,,,,
Y,2.159,,0.024,,,,,,,
Y,2.773,,0.013,,,,,,,
Y,1.820,,0.044,,,,,,,
Y,1.078,,0.200,,,,,,,
Y,0.663,,0.191,,,,,,,
Y,0.946,,0.060,,,,,,,
Y,2.226,,0.047,175.,,,,,,
Y,0.818,,0.126,,,,,,,
Y,0.590,,0.046,,,,,,,
Y,0.530,,0.063,,,,,,,
Y,2.246,,0.017,,,,,,,
Y,0.228,,0.071,4.9706,,,,,,
Y,0.695,,0.063,2.0734,,,,,,
Y,0.440,,0.209,,,,,,,
Y,2.003,,0.040,221.,,,,,,
Y,0.288,,0.034,,,,,,,
Y,0.253,,0.399,14.09,,,,,,
Y,0.228,,0.593,13.719,,,,,,
Y,3.316,,0.018,119.4,,,,,,
Y,0.437,,0.503,66.8,,,,,,
Y,2.098,,0.040,,,,,,,
Y,0.762,,0.025,,,,,,,
Y,0.735,,0.090,,,,,,,
Y,0.096,,0.134,,,,,,,
Y,1.250,,0.059,,,,,,,
Y,2.188,,0.023,,,,,,,
Y,2.720,,0.038,,,,,,,
Y,1.514,,0.031,,,,,,,
Y,0.846,,0.156,46.7,,,,,,
Y,2.249,,0.018,,,,,,,
